NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PHOSPHATIDIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006654	PHOSPHATIDIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006654	Details ...	26	0.6659024	1.8922074	0.0	0.7122687	0.601	2194	tags=38%, list=17%, signal=46%	
PHOSPHATIDIC ACID METABOLIC PROCESS%GOBP%GO:0046473	PHOSPHATIDIC ACID METABOLIC PROCESS%GOBP%GO:0046473	Details ...	27	0.65325904	1.8790966	0.0	0.43977386	0.685	2194	tags=37%, list=17%, signal=44%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	42	0.58219296	1.8420681	0.0	0.49493882	0.864	2334	tags=48%, list=18%, signal=58%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	134	0.46694392	1.7839887	0.0	0.83014935	0.985	2452	tags=37%, list=19%, signal=44%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	134	0.46694392	1.7791224	0.0	0.70823765	0.987	2452	tags=37%, list=19%, signal=44%	
HEMATOPOIETIC STEM CELL DIFFERENTIATION%WIKIPATHWAYS_20220510%WP2849%HOMO SAPIENS	HEMATOPOIETIC STEM CELL DIFFERENTIATION%WIKIPATHWAYS_20220510%WP2849%HOMO SAPIENS	Details ...	34	0.57144624	1.7734007	0.0021413276	0.63443935	0.991	1865	tags=41%, list=14%, signal=48%	
TRNA AMINOACYLATION%GOBP%GO:0043039	TRNA AMINOACYLATION%GOBP%GO:0043039	Details ...	40	0.54960495	1.7415713	0.001984127	0.79785156	0.997	2621	tags=40%, list=20%, signal=50%	
AMINO ACID ACTIVATION%GOBP%GO:0043038	AMINO ACID ACTIVATION%GOBP%GO:0043038	Details ...	40	0.54960495	1.7331275	0.002016129	0.76901203	0.999	2621	tags=40%, list=20%, signal=50%	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220510%WP4197%HOMO SAPIENS	IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220510%WP4197%HOMO SAPIENS	Details ...	20	0.63627964	1.7320037	0.0057803467	0.6916918	0.999	909	tags=20%, list=7%, signal=21%	
NUCLEOBASE BIOSYNTHETIC PROCESS%GOBP%GO:0046112	NUCLEOBASE BIOSYNTHETIC PROCESS%GOBP%GO:0046112	Details ...	15	0.67078257	1.7212315	0.00996016	0.702507	0.999	2023	tags=40%, list=15%, signal=47%	
